url,title,price,mileage,year,month,gear_and_displacement,engine_info,location
https://www.che168.com/dealer/508886/51790967.html,Model Y 2021款 长续航全轮驱动版,179800,40000,2021,03,自动 / 0L,动  机纯电动 431马力,Шанхай
https://www.che168.com/dealer/600611/51542374.html,Model Y 2021款 长续航全轮驱动版,198000,50000,2021,07,自动 / 0L,动  机纯电动 431马力,Сучжоу
https://www.che168.com/dealer/613567/51484764.html,Model Y 2022款 长续航全轮驱动版,200000,34000,2022,06,自动 / 0L,动  机纯电动 450马力,Чэнду
https://www.che168.com/dealer/613567/51484524.html,Model Y 2022款 长续航全轮驱动版,198000,24000,2022,06,自动 / 0L,动  机纯电动 450马力,Чэнду
https://www.che168.com/dealer/223768/49528761.html,Model Y 2021款 改款 长续航全轮驱动版 3D5,215800,46000,2021,07,自动 / 0L,动  机纯电动 431马力,Тайчжоу (Чжэцзян)
https://www.che168.com/dealer/356734/51731635.html,Model Y 2021款 长续航全轮驱动版,172800,70000,2021,09,自动 / 0L,动  机纯电动 431马力,Шэньчжэнь
https://www.che168.com/dealer/615627/51733039.html,Model Y 2021款 改款二 长续航全轮驱动版,172000,67500,2021,03,自动 / 0L,动  机纯电动 450马力,Пекин
https://www.che168.com/dealer/508144/50656239.html,Model Y 2022款 长续航全轮驱动版,208000,34000,2022,06,自动 / 0L,动  机纯电动 450马力,Ланьчжоу
https://www.che168.com/dealer/525871/51817040.html,Model Y 2021款 长续航全轮驱动版,173800,67000,2021,02,自动 / 0L,动  机纯电动 431马力,Баодин
https://www.che168.com/dealer/496195/51812996.html,Model Y 2022款 Performance高性能全轮驱动版,229800,50000,2022,03,自动 / 0L,动  机纯电动 486马力,Ханчжоу
https://www.che168.com/dealer/416603/51733554.html,Model Y 2021款 Performance高性能全轮驱动版,229800,56000,2022,06,自动 / 0L,动  机纯电动 486马力,Шэньян
https://www.che168.com/dealer/417694/51810895.html,Model Y 2022款 Performance高性能全轮驱动版,226800,55000,2021,12,自动 / 0L,动  机纯电动 486马力,Шанхай
https://www.che168.com/dealer/417694/51810765.html,Model Y 2021款 长续航全轮驱动版,173800,85000,2021,05,自动 / 0L,动  机纯电动 431马力,Шанхай
https://www.che168.com/dealer/547533/51810338.html,Model Y 2022款 长续航全轮驱动版,215800,31000,2022,06,自动 / 0L,动  机纯电动 450马力,Дунгуань
